sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"Plasmodium falciparum, (P.f.) is the most lethal form of the plasmodium parasite causing the most deaths and has the shortest incubation period.",CauseNet-cause.csv,,2,[],[],implicit,"[('plasmodium_parasite', 'deaths')]",No
"Thank you, Mr. asked the Minister for Environment and Mineral Resources:- (a) whether he could indicate to what extent the emission of greenhouse gases is causing climate change and increase in temperature; (b) whether he could confirm or deny that Mount Kenya glacier is shrinking every year due to increase in temperatures; and, (c) whether the Government, in collaboration with the other developed nations, could adopt necessary measures to check emission of greenhouse gases.",CauseNet-cause.csv,,2,[],['due to'],implicit,"[('emission_of_greenhouse_gases', 'climate_change')]",No
"These deficiency diseases also contribute to higher incidences and greater seriousness of other diseases such as typhus, hepatitis, various diarrhea causing diseases (dysentery, cholera, etc.) and parasite infestations.",CauseNet-cause.csv,,2,[],[],implicit,"[('diarrhea', 'diseases')]",No
"Taking ca. 25 years as a single generation (sensu IUCN 2001) for Asian Elephants, then over 69% of potential Sumatran Elephant habitat has been lost within just one generation (the last 25 years) and the driving forces that are causing the habitat loss are still continuing essentially unchecked.",CauseNet-cause.csv,,2,[],[],implicit,"[('driving_forces', 'habitat_loss')]",No
"And this week, the U.N.'s fourth annual report on climate change is expected to confirm the widely held view that human activity is causing significant global warming.",CauseNet-cause.csv,,2,[],[],implicit,"[('human_activity', 'global_warming')]",No
"Randolfi, Ph.D. (1997) in the Worksite Health Journal says, ""In a national survey conducted by the North-western Life Insurance Company (1992) seven in ten American workers indicated that job stress is causing frequent health problems and has made them less productive.",CauseNet-cause.csv,,2,[],[],implicit,"[('job_stress', 'frequent_health_problems')]",No
"April 4: Trevor Beardshear, 23, of 116 University West, Ames, public intoxication (first offense); Javontea Bolden, 21, of 1601 Capitol No. 104, Des Moines, disorderly conduct, interference with official acts, simple assault, serious assault; Albert Dirks, 34, of 4912 Mortensen Road, Ames, public intoxication (first offense); Deantwan Jackson, 22, of 3709 Tripp St. No. 212, Ames, possession of a controlled substance, assault causing bodily injury; Kristin Lupoi, 31, of 903 Pinion Drive No. 1, Ames, public intoxication (first offense), interference with official acts, fifth-degree criminal mischief, assault on a peace officer; Malachi Woods, 22, of 401 N.",CauseNet-cause.csv,,5,[],[],implicit,"[('assault', 'bodily_injury')]",No
"If the tissue is benign but the enlarged prostate is causing symptoms such as frequent urination, special needles that emit radio signals can be used by an urologist in St. Petersburg with only a local anesthetic to dissolve excess tissue and restore urinary flow.",CauseNet-cause.csv,,2,[],[],implicit,"[('enlarged_prostate', 'symptoms')]",No
"And always make sure that she is evaluated for any physical problems that may be causing her stress, especially her feet teeth and chiropractic balance!!",CauseNet-cause.csv,,2,[],[],implicit,"[('physical_problems', 'stress')]",No
"The problems are already causing trouble for J.P. Morgan Chase and Wells Fargo, and are expected to hit other large banks when first-quarter earnings results are released next month.",CauseNet-cause.csv,,2,[],[],implicit,"[('problems', 'trouble')]",No
"In ""Euthanasia,"" from his book The Facts of Life, Dr. Brian Clowes discusses topics such as: definitions and types; advance directives; extraordinary or disproportionate measures; painkillers causing unconsciousness; the Bible and Catholic theology; the hospice alternative; Nazi Germany; Netherlands; United States; the purpose of human suffering; Kevorkian; and what can we do to fight euthanasia.",CauseNet-cause.csv,,2,[],[],implicit,"[('painkillers', 'unconsciousness')]",No
"More recently Dr. Aguirre who refused to be x-rayed at Manchester after stating his concerns about the radiation causing cancer, was also denied his flight and was escorted out of the airport by police officers, like a common criminal.",CauseNet-cause.csv,,2,[],[],implicit,"[('radiation', 'cancer')]",No
"The fear that cell phones might be causing brain tumors was aroused by ABC's ""20/20"" (October 1999) in a story focused on the claims of Dr. George Carlo, who, for the previous six years, ran the cell phone industry's research program on the effects of radiation from cell phones.",CauseNet-cause.csv,,2,['claims'],[],implicit,"[('cell_phones', 'brain_tumors')]",No
San Diego car accident lawyer Ross Jurewitz is concerned about the number of auto vs. pedestrian accidents causing injury within the City.,CauseNet-cause.csv,,2,[],[],implicit,"[('pedestrian_accidents', 'injury')]",No
"Thedriver of the motor vehicle has been charged with aggravated battery pursuant to subsection (a)(2)(A) of K.S.A. Pursuant to that subsection, aggravated battery is ""recklessly causing great bodily harm to another person or disfigurement of another person . . . ."" Aggravated battery as described in subsection (a)(2)(A) of K.S.A.",CauseNet-cause.csv,,6,[],[],implicit,"[('aggravated_battery', 'great_bodily_harm')]",No
"Avard Law Offices, P.A. handles nursing home abuse and negligence cases that include neglect causing bed sores, fractures, falls, unexplained injuries, malnutrition, improper medication, weight loss, unsanitary conditions, unexpected death, improper restraining systems, assaults of an elder resident, lack of adequate care in both assisted living facilities as well as nursing homes, and over-medication cases.",CauseNet-cause.csv,,2,[],[],implicit,"[('neglect', 'bed_sores')]",No
"Although Defendant Shortt was unable to identify any such virus or bacteria from his laboratory studies, he nevertheless recommended intravenous hydrogen peroxide therapy to treat Ms. Bibeau that the hydrogen peroxide would be very good at killing this unknown bacteria or virus allegedly causing her multiple sclerosis.",CauseNet-cause.csv,,2,[],[],implicit,"[('virus', 'multiple_sclerosis')]",No
"com and the Web sites of the BELLEVILLE (Ill.) TRIBUNE, and CONTRA COSTA (Calif.) Some doctors and patients suspect that drugs called bisphosphonates, frequently given at high intravenous doses to lower elevated blood calcium or prevent cancer from invading bone, are causing jawbone death.",CauseNet-cause.csv,,3,[],[],implicit,"[('drugs', 'jawbone_death')]",No
Katsurano et al. indicated that macrophages and neutrophils in an inflamed colonic epithelium are the source of reactive oxygen species causing the DNA damages that initiate colonic tumorigenesis.,CauseNet-cause.csv,,2,[],[],implicit,"[('reactive_oxygen_species', 'dna_damages')]",No
"At Beverly Hills Vision Institute, Dr. Khodabakhsh will also need to know about your everyday activities, general health, medications you are taking, and environmental factors that may be causing your symptoms.",CauseNet-cause.csv,,2,[],[],implicit,"[('environmental_factors', 'symptoms')]",No
"Gottfried, a Berkeley, Calif. gynecologist, also recommends finding and addressing hormonal imbalances that may be causing depression.",CauseNet-cause.csv,,2,[],[],implicit,"[('hormonal_imbalances', 'depression')]",No
With these x-rays Dr. Morice can find blockages that may be causing infertility.,CauseNet-cause.csv,,2,[],[],implicit,"[('blockages', 'infertility')]",No
"Diagnosis and treatments for conditions causing infertility are available from outstanding specialists like Dr. Thomas Hilgers of the Pope Paul VI Institute in Omaha, Nebraska.",CauseNet-cause.csv,,2,[],[],implicit,"[('conditions', 'infertility')]",No
On her father's side her great great grandfather was Dr. Jekyll and on both sides of the family there is recessive gene causing mutation.,CauseNet-cause.csv,,2,[],[],implicit,"[('recessive_gene', 'mutation')]",No
"Yeast cells two-celled, usually the predominant form in the culture, rounded at one end, tapering towards the other with annellations at the tapering end; some annellides integrated within hyphae; annelloconidia one-celled, occasionally two-celled, accumulating in balls that tend to slide down the hyphae (Priorly known as Exophiala werneckii and Phaeoannelomyces werneckii and currently reclassified as Hortae werneckii) Exophiala spp. are among the fungi causing infections wholly referred to as phaeohyphomycosis.",CauseNet-cause.csv,,2,[],[],implicit,"[('fungi', 'infections')]",No
