sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"In addition, a soon-to-be-published study by the National Cooperative Highway Research Program found that the installation of roundabouts led to a 35-percent reduction in total crashes and a 76-percent reduction in crashes causing injuries or fatalities.",CauseNet-cause.csv,,1,[],['led to'],implicit,"[('crashes', 'injuries'), ('crashes', 'fatalities')]",Yes
Drugs causing hepatotoxicity or hemolysis.,CauseNet-cause.csv,,1,[],[],implicit,"[('drugs', 'hemolysis'), ('drugs', 'hepatotoxicity')]",Yes
"Symptoms are due to pressure of the tumor around the stomach and the actual abdomen, causing abdominal pain, swelling, loss of desire for food, vomiting, breathing problems, anemia and a number of other indicators.",CauseNet-cause.csv,,1,[],['due to'],implicit,"[('actual_abdomen', 'symptoms'), ('pressure_of_the_tumor_around_the_stomach', 'symptoms')]",Yes
An allergic reaction causing weakness and collapse may occur in sensitive individuals.,CauseNet-cause.csv,,1,[],[],implicit,"[('allergic_reaction', 'weakness'), ('allergic_reaction', 'collapse')]",Yes
"This historic achievement was the result of water plant operators mixing in chlorine, a spectacularly powerful killing agent, which eliminated disease causing bacteria, viruses, and other microbes.",CauseNet-cause.csv,,1,[],[],implicit,"[('disease', 'bacteria'), ('disease', 'viruses')]",Yes
Consider that it is an abortifacient as well as a teratogen causing birth defects and mental retardation.,CauseNet-cause.csv,,1,[],[],implicit,"[('teratogen', 'birth_defects'), ('teratogen', 'mental_retardation')]",Yes
"Issues include the destruction of peatlands, large-scale illegal deforestation and related wildfires causing heavy smog over parts of western Indonesia, Malaysia and Singapore; over-exploitation of marine resources; and environmental problems associated with rapid urbanisation and industrial development, including air pollution, traffic congestion, garbage management, and reliable water and waste water services.",CauseNet-cause.csv,,1,[],[],implicit,"[('industrial_development', 'environmental_problems'), ('rapid_urbanisation', 'environmental_problems')]",Yes
Towns and villages along the eastern coast of Sicily were assaulted by high waves causing deaths and damage to boats and property.,CauseNet-cause.csv,,1,[],[],implicit,"[('high_waves', 'damage_to_boats'), ('high_waves', 'deaths')]",Yes
"Bribery, criminal negligence causing death and injury, flagrant violations of the law, accounting fraud, price-fixing, human-rights violations, intimidation and abuse of workers, environmental degradation, false advertising, and tax evasion are examples of how some corporate leaders and organizations break the law.",CauseNet-cause.csv,,1,[],[],implicit,"[('criminal_negligence', 'death'), ('criminal_negligence', 'injury')]",Yes
"We are at a crucial juncture in American agriculture where the issues causing the litigation and uncertainty must be addressed, so that the potential contributions of all sectors of agriculture can be fully realized.",CauseNet-cause.csv,,1,[],[],implicit,"[('issues', 'uncertainty'), ('issues', 'litigation')]",Yes
Researchers wanted to determine whether the high leptin levels were a result of obesity or whether the higher levels could be causing obesity.,CauseNet-cause.csv,,1,[],[],implicit,"[('obesity', 'high_leptin_levels'), ('higher_levels', 'obesity')]",Yes
"Meanwhile, the changes brought on by the economic downturn and regulatory environment have pushed ordinary accounting systems well past their limits, causing financial managers to rely more heavily on manual workarounds and elaborate spreadsheets.",CauseNet-cause.csv,,1,[],[],implicit,"[('economic_downturn', 'changes'), ('regulatory_environment', 'changes')]",Yes
"Article 20 only applies if there has been an accident causing death or injury, an occurrence causing damage to baggage or cargo or damage occasioned by delay within, respectively, articles 17, 18 or 19.",CauseNet-cause.csv,,1,[],[],implicit,"[('accident', 'death'), ('accident', 'injury')]",Yes
"Petro-chemicals produce xeno-estrogens which can affect our reproductive areas, causing long term effects for women, such as hormonal imbalances leading to PMT, acne, fertility problems, pigmentation and osteoporosis.",CauseNet-cause.csv,,1,[],['leading to'],implicit,"[('hormonal_imbalances', 'acne'), ('hormonal_imbalances', 'fertility_problems'), ('hormonal_imbalances', 'osteoporosis')]",Yes
Significant heat and air loss and water infiltration were causing the problems noted by the tenants and owners.,CauseNet-cause.csv,,1,[],[],implicit,"[('heat', 'problems'), ('water_infiltration', 'problems')]",Yes
"The primary purpose of the Fire Investigation Unit is the investigation of fires that are intentionally set, suspicious fires, unlawful fires, attempted arson, fires causing a serious injury or death, and possession or use of fireworks, incendiary devices, and explosives.",CauseNet-cause.csv,,1,[],[],implicit,"[('fires', 'death'), ('fires', 'serious_injury')]",Yes
"One of the byproducts it is metabolised to is carcinogenic and the other metabolites affect the brain chemistry with reports of aspartame causing seizures, mania, dizziness, brain fog, muscle cramps, tingling, numbness, insomnia, skin rashes, anxiety and depression.",CauseNet-cause.csv,,1,[],[],implicit,"[('aspartame', 'seizures'), ('aspartame', 'dizziness'), ('aspartame', 'depression'), ('aspartame', 'anxiety'), ('aspartame', 'insomnia')]",Yes
My sister is now constantly afraid of demons causing anxiety and illness (despite the fact that I told her that she has a poor diet).,CauseNet-cause.csv,,1,[],[],implicit,"[('demons', 'illness'), ('demons', 'anxiety')]",Yes
