sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"Therefore, unbalanced degree of vitamin D inside the body will eventually cause depression.",CauseNet-cause.csv,,1,[],"['Therefore', 'cause']",explicit,"[('unbalanced_degree_of_vitamin_d_inside_the_body', 'depression')]",No
Meningococcal disease also causes blood infections.,CauseNet-cause.csv,,1,[],['causes'],explicit,"[('meningococcal_disease', 'blood_infections')]",No
"Park Sang-jin, a professor of psychiatry at NHIC's Ilsan Hospital said, ""It seems the number of sleep disorder victims has increased due to worries or anxiety disorders, depression, and stress caused by the recession and the job crisis.""",CauseNet-cause.csv,,1,[],"['due to', 'caused']",explicit,"[('recession', 'stress')]",No
"The modified live vaccine is made to vaccinate healthy horses 3 months or older, to help prevent the respiratory symptoms caused by EHV-1.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('ehv-1', 'respiratory_symptoms')]",No
"The vitamin is also known as ascorbic acid meaning ""without scurvy,"" the disease caused by a Vitamin C deficiency.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('vitamin_c_deficiency', 'disease')]",No
"the war had caused great loss of life and enormous damage to certain allied countries, especially Belgium and France by German armies, and to Italy by Austro-Hungarian armies.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('war', 'great_loss_of_life')]",No
The evaluation of each study indicates why the assumption that abortion causes substance abuse is unwarranted.,CauseNet-cause.csv,,1,[],['causes'],explicit,"[('abortion', 'substance_abuse')]",No
The exclusive wiper formulation and its unique one-piece design resists corrosion caused by the elements and freezing.,CauseNet-cause.csv,,1,[],['caused'],explicit,"[('elements', 'corrosion')]",No
"First of all, accommodative monetary policy can cause inflation.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('accommodative_monetary_policy', 'inflation')]",No
"Chewing off the insulation from electrical wires can create shorts that can cause fires, and even simply by a squirrel running along power lines can short out transformers.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('shorts', 'fires')]",No
Tobacco smoking continues to be the major preventable cause of premature morbidity and mortality throughout the world.,CauseNet-cause.csv,,1,[],['cause'],explicit,"[('tobacco_smoking', 'mortality')]",No
