sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"An overdose can cause seizures, coma or death.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('overdose', 'death'), ('overdose', 'coma'), ('overdose', 'seizures')]",Yes
"E. coli infections can lead to hemolytic uremic syndrome (HUS), a severe illness that can cause kidney failure, pancreatitis, brain damage and damage to other organs.",CauseNet-cause.csv,,1,[],"['lead to', 'cause']",explicit,"[('severe_illness', 'kidney_failure'), ('severe_illness', 'brain_damage'), ('severe_illness', 'pancreatitis')]",Yes
"Transient (short term) insomnia is often caused by excitement or stress, such as a long anticipated vacation or a highly important business meeting.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('stress', 'insomnia'), ('excitement', 'insomnia')]",Yes
"Injury or death can be caused by inadequate security allowing a shooting, stabbing, rape, robbery, theft, assault, murder or other criminal activity to occur where none would otherwise occur with proper security.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('inadequate_security', 'death'), ('inadequate_security', 'injury')]",Yes
"Forbidden Grief is an extensive study and analysis of the trauma experienced by thousands of women, men and couples she has helped after The death caused by abortion leads to anguish and intense yearning for someone who cannot be retrieved.",CauseNet-cause.csv,,1,[],"['caused', 'leads to']",explicit,"[('abortion', 'death'), ('death', 'anguish')]",Yes
"Compare that to prescription medications that have been known to cause diarrhea, liver damage, impotence and hypoglycemia.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('prescription_medications', 'liver_damage'), ('prescription_medications', 'diarrhea'), ('prescription_medications', 'impotence')]",Yes
"Seizures may also be caused by gastrointestinal disease, poisoning , head injury, brain disease such as a tumor , and rarely, breath-holding during a tantrum.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('head_injury', 'seizures'), ('poisoning', 'seizures')]",Yes
"For example, many of us know that allergies can cause hives, itchy and watery eyes, runny nose, etc.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('allergies', 'runny_nose'), ('allergies', 'watery_eyes'), ('allergies', 'hives')]",Yes
Our expert injury accident lawyers will assist you in proving that the drugs that were prescribed or purchased over-the-counter were dangerous and caused the serious side-effects and injuries.,CauseNet-cause.csv,,1,[],['caused'],explicit,"[('drugs', 'injuries'), ('drugs', 'serious_side-effects')]",Yes
"A crucial step came in 2006 when the U.S. Food and Drug Administration approved the first VLP-based vaccine, Gardasil, the first vaccine proven effective against the human papillomavirus, which can cause genital warts and cervical cancer.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('human_papillomavirus', 'cervical_cancer'), ('human_papillomavirus', 'genital_warts')]",Yes
"Holding, in accordance with the Cartesian philosophy, then prevalent, that God himself is the only cause of all phenomena and events, he hence deduced his extraordinary theory of identity, and incorporated it with the fundamental doctrines of theology.",CauseNet-cause.csv,,1,[],"['cause', 'hence']",explicit,"[('god', 'events'), ('god', 'phenomena')]",Yes
"I think the importance of our paper is that we actually show these mutations can indeed cause several changes associated with aging.""",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('aging', 'changes'), ('mutations', 'changes')]",Yes
"Generic Motrin is used to reduce the fever, pain, inflammation, and stiffness caused by many conditions, such as osteoarthritis, rheumatoid arthritis, and abdominal cramps associated with menstruation.",CauseNet-cause.csv,,1,[],['caused'],explicit,"[('conditions', 'stiffness'), ('menstruation', 'abdominal_cramps')]",Yes
"Background and Objectives: Smoking is a major preventable cause of morbidity and mortality all over the world, but little information is available about the prevalence of smoking in Saudi Arabia.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('smoking', 'mortality'), ('smoking', 'morbidity')]",Yes
"Hypertension, which is a major cause of intracranial hemorrhage and stroke, can be treated by preventive measures using diet (e.g., increasing nutrients such as antioxidants and folate), drug therapy, and stress reduction techniques.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('hypertension', 'stroke'), ('hypertension', 'intracranial_hemorrhage')]",Yes
"Section 5(a)(1) of the Act states that each employer shall furnish to each of his employees employment and To prove that an employer violated section 5(a)(1), the Secretary must show that a condition or activity in the employer's workplace presents a hazard to employees, that the cited employer or the employer's industry recognizes the hazard, that the hazard is likely to cause death or serious physical harm and that feasible means exist to eliminate or materially reduce the hazard.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('hazard', 'death'), ('hazard', 'serious_physical_harm')]",Yes
"Stopping the medication too early may allow bacteria to continue to grow, which may result in a relapse of the infection.Inform your doctor if your condition persists or worsens.Amoxicillin/clavulanic acid Oral is used to treat the following:Infection of the Middle Ear by H. Influenzae Bacteria, Middle Ear Infection caused by Moraxella Catarrhalis, Middle Ear Infection, Acute Bacterial Infection of the Sinuses, Severe Sinusitis caused by Haemophilus Influenzae, Severe Sinusitis caused by Moraxella Catarrhalis, Bacterial Pneumonia caused by Haemophilus Influenzae, Pneumonia caused by the Bacteria Moraxella Catarrhalis, Pneumonia caused by Bacteria, Urinary Tract Infection, Infection of Urinary Tract due to Enterobacter Cloacae, Urinary Tract Infection due to E. Coli Bacteria, Urinary Tract Infection caused by Klebsiella Bacteria, Skin Infection, Skin Infection due to Staphylococcus Aureus Bacteria, Skin Infection due to E. Coli Bacteria, Skin Infection due to Klebsiella BacteriaAmoxicillin/clavulanic acid Oral may also be used to treat:Highly Infectious Venereal or Sexually Transmitted Ulcer, Presumed Infection in Febrile Neutropenic Patient, Bacterial Infection with Chronic Bronchitis, Diverticulitis, Infection of the Biliary Tract, Diabetic Foot Infection, Pediatric Fever without a Source, Dog Bite Wound, Cat Bite Wound, Human Bite Wound Where to buy discount Synermox online: Quality-RX is a well established pharmaceutical supply company, with experience in delivering high quality, low cost pharmaceuticals to a worldwide market.",CauseNet-cause.csv,,1,[],"['result in', 'caused', 'caused', 'caused', 'caused', 'caused', 'caused', 'due to', 'due to', 'caused', 'due to', 'due to', 'due to']",explicit,"[('bacteria', 'pneumonia'), ('haemophilus_influenzae', 'bacterial_pneumonia')]",Yes
"Mold can cause property damage and health issues, and must be taken care of professional when it is found.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('mold', 'health_issues'), ('mold', 'property_damage')]",Yes
"If you are guilty of driving while impaired by alcohol and you cause an accident that results in injury or death, you can be charged with a felony.",CauseNet-cause.csv,,1,[],"['cause', 'results in']",explicit,"[('accident', 'death'), ('accident', 'injury')]",Yes
"In more serious cases, the disease can cause hearing and/or speech loss, blindness, permanent brain and nerve damage, behavioral changes, cognitive disabilities, lack of muscle control, seizures, and memory loss.",CauseNet-cause.csv,,1,[],['cause'],explicit,"[('disease', 'blindness'), ('disease', 'seizures'), ('disease', 'nerve_damage'), ('disease', 'memory_loss'), ('disease', 'behavioral_changes')]",Yes
"The bleeding and injuries caused by shaking can lead to blindness, paralysis, deafness, broken bones, developmental delays, seizures, learning disabilities and even death.",CauseNet-cause.csv,,1,[],"['caused', 'lead to']",explicit,"[('injuries', 'death'), ('bleeding', 'death'), ('injuries', 'paralysis'), ('injuries', 'blindness'), ('injuries', 'deafness'), ('injuries', 'broken_bones'), ('injuries', 'seizures'), ('bleeding', 'blindness'), ('bleeding', 'seizures'), ('bleeding', 'paralysis')]",Yes
"In contrast to our simplistic notion of causation whereby A causes B, which causes C, which causes D, the Buddhist theory recognizes the true complexity of causation.",CauseNet-cause.csv,,1,[],"['causation', 'causes', 'causes', 'causes', 'causation']",explicit,"[('b', 'c'), ('c', 'd')]",Yes
Her death was caused by a heart ailment and other complications.,CauseNet-cause.csv,,1,[],['caused'],explicit,"[('complications', 'death'), ('heart_ailment', 'death')]",Yes
