sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
Haemorrhage and infection can cause death. . . .,CauseNet-cause.csv,,4,[],['cause'],explicit,"[('infection', 'death'), ('haemorrhage', 'death')]",Yes
Penetrating abdominal trauma; Hirshberg A et al. ; Infection is a major cause of morbidity and mortality following penetrating abdominal trauma .,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('infection', 'mortality'), ('infection', 'morbidity')]",Yes
"http://buyingacomplia.com Nizoral is a drug used to treat a variety of fungal infections such as dandruff, jock itch, etc. http://buyingnizoral.com Motrin is used to reduce fever and treat pain or inflammation caused by headache, toothaches, back pain etc. http://buyingmotrin.com Valtrex used to treat infections caused by herpes viruses.",CauseNet-cause.csv,,3,[],"['caused', 'caused']",explicit,"[('headache', 'pain'), ('herpes_viruses', 'infections')]",Yes
"The term includes impairments caused by congenital anomaly (e.g., clubfoot, absence of some member, etc.), impairments caused by disease (e.g.,poliomyelitis, bone tuberculosis, etc.), and impairments from other causes (e.g., cerebral palsy, amputations, and fractures or burns that cause contractures) * (12) Traumatic brain injury means an acquired injury to the brain caused by an external physical force, resulting in total or partial functional disability or psychosocial impairment, or both, that adversely affects a child's educational performance.",CauseNet-cause.csv,,3,[],"['caused', 'caused', 'causes', 'cause', 'caused', 'resulting in']",explicit,"[('disease', 'impairments'), ('external_physical_force', 'acquired_injury_to_the_brain')]",Yes
"These support groups are open to all persons with acquired brain injury (caused by trauma, stroke, illness, tumor, etc.) their families and/or caregivers.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('stroke', 'acquired_brain_injury'), ('trauma', 'acquired_brain_injury')]",Yes
"""Initially, the chemicals can cause dizziness, lightheadedness, and hallucinations,"" says Dr. ""Teens often inhale many times over several hours trying to extend the intoxication, which can result in heart failure and death.""",CauseNet-cause.csv,,2,[],"['cause', 'result in']",explicit,"[('chemicals', 'dizziness'), ('chemicals', 'hallucinations')]",Yes
"Despite allocation of Rs. 14.12 crores in 2006, due to the negligence of the Madhya Pradesh State government in this vital matter, today over 20, 000 people are forced to drink water contaminated with cancer and birth defect causing chemicals and heavy metals and chemicals that cause damage to liver, kidneys, lungs, brain and the skin.",CauseNet-cause.csv,,2,[],"['due to', 'cause']",explicit,"[('cancer', 'chemicals'), ('cancer', 'heavy_metals')]",Yes
"Medical evidence was given by Mr. T. J. Crean and Mr. Heffernan stated that death was due to shock caused by burns, which were of a terrible nature.",CauseNet-cause.csv,,3,[],"['due to', 'caused']",explicit,"[('shock', 'death'), ('burns', 'shock')]",Yes
"Reducing the accidents associated with teen drivers; according to Mr. Blackistone, there were too many accidents associated with teen drivers and traffic accidents were the leading cause of death among teens.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('teen_drivers', 'accidents'), ('accidents', 'death_among_teens')]",Yes
"An independent double-blind placebo study conducted by Dr. Neil Bhatia, Assistant Clinical Professor of Dermatology at the University of California San Diego School of Medicine, clinically proves that Face Doctor Products, a line of skin and hair products containing a proprietary blend of Seabuck Thorn Oil, Vitamin E, Aloe and other key ingredients, dramatically reduces redness and inflammation caused by rosacea, dermatitis and acne.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('rosacea', 'redness'), ('acne', 'redness'), ('dermatitis', 'redness')]",Yes
"; Edited by Morris, member of the Geographical Society of Philadelphia and author of ""The Volcano's Deadly Work"", ""Decisive Events in American History"", ""Historical Review of Civilization"", etc. ; With illustrations made especially for this work, showing the havoc caused by fire, earthquake and volcanic convulsions.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('fire', 'havoc'), ('earthquake', 'havoc')]",Yes
"Diversity in pathogenicity can cause outbreaks of meningococcal disease; Stollenwerk N et al. ; Neisseria meningitidis, the meningococcus, is a major cause of bacterial meningitis and septicemia worldwide .",CauseNet-cause.csv,,2,[],"['cause', 'cause']",explicit,"[('neisseria_meningitidis', 'bacterial_meningitis'), ('neisseria_meningitidis', 'septicemia')]",Yes
"On motion by Mr. Joe Fuller, seconded by Mr. Myron Lawson, to ratify authorization for the President in declaring Rapides Parish in a State of Emergency on April 2, 2001, and all Emergency Preparedness plans and Parish All Hazard Emergency Operations Plan be activated, due to heavy rainfall which caused numerous road closures and localized flooding which has required some residential evacuations as well as livestock, to which additional rainfall was expected within the next several days: On motion by Mr. Joe Fuller, seconded by Mr. Myron Lawson, to waive the forty foot culvert limitation and authorize the Parish Highway Department to install approximately 155 feet of 18 inch pipe at Lot 4 of Fortune Loop, the property owner Ms. Cathy Bernard to provide the pipe and two catch basins, and the Parish Highway Department to install and backfill, to be paid out of Road District No.",CauseNet-cause.csv,,6,[],"['due to', 'caused']",explicit,"[('heavy_rainfall', 'localized_flooding'), ('heavy_rainfall', 'road_closures')]",Yes
"http://buyingnexium.com Nizoral is a drug used to treat a variety of fungal infections such as dandruff, jock itch, etc. http://buyingnizoral.com Motrin is used to reduce fever and treat pain or inflammation caused by headache, toothaches, back pain etc. http://buyingmotrin.com Valtrex used to treat infections caused by herpes viruses.",CauseNet-cause.csv,,3,[],"['caused', 'caused']",explicit,"[('headache', 'pain'), ('herpes_viruses', 'infections')]",Yes
In Dr. Roberts first book he mentions that Acesulfame potassium caused cancer and leukemia in original studies.,CauseNet-cause.csv,,2,[],['caused'],explicit,"[('acesulfame_potassium', 'cancer'), ('acesulfame_potassium', 'leukemia_in_original_studies')]",Yes
"However, deaths caused by malnutrition and anemia were more frequent in women than in men (351 vs. 336; 262 vs. 226, respectively).",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('malnutrition', 'deaths'), ('anemia', 'deaths')]",Yes
"In her later years, Ms. James developed several debilitating health problems, including dementia, diabetes and leukemia, which was the cause of her death.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('diabetes', 'death'), ('leukemia', 'death'), ('dementia', 'death')]",Yes
"With the 181 casualties of the February... In the tradition of classic hip-hop feuds like Kool Moe Dee vs LL Cool J or Tupac vs. Biggie, a group of Australian climate scientists have made a full on dis track calling out climate skeptics, aka those why deny the scientific consensus that human activity causes global warming and climate change.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('human_activity', 'global_warming'), ('human_activity', 'climate_change')]",Yes
"'Mental illnesses will be the No. 2 cause of death and disability by 2020, according to the World Health Organization.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('mental_illnesses', 'disability'), ('mental_illnesses', 'death')]",Yes
"Foremost Foods, International, Inc. of Pomona, CA, is issuing a voluntary recall on certain Tomi brand dried seafood products because they have the potential to be contaminated with Clostridium botulinum, a bacterium which can cause life-threatening illness or death.",CauseNet-cause.csv,,2,[],"['because', 'cause']",explicit,"[('bacterium', 'death'), ('bacterium', 'life-threatening_illness')]",Yes
"As to the negligence claim, the lawsuit alleged that FMC Corp.: 1) had a duty to exercise reasonable care for the safety of Walter and those who worked with or were exposed to the asbestos-containing products, or 2) should have known that exposure would cause disease or death.",CauseNet-cause.csv,,2,['claim'],['cause'],explicit,"[('exposure', 'disease'), ('exposure', 'death')]",Yes
"Among clopidogrel-treated subjects in TRITON-TIMI 38, carriers had a relative increase of 53% in the composite primary efficacy outcome of the risk of death from cardiovascular causes, myocardial infarction, or stroke, as compared with noncarriers (12.1% vs. 8.0%; hazard ratio for carriers, 1.53; 95% confidence interval [CI], 1.07 to 2.19; P=0.01) and an increase by a factor of 3 in the risk of stent thrombosis (2.6% vs. CONCLUSIONS: Among persons treated with clopidogrel, carriers of a reduced-function CYP2C19 allele had significantly lower levels of the active metabolite of clopidogrel, diminished platelet inhibition, and a higher rate of major adverse cardiovascular events, including stent thrombosis, than did noncarriers.",CauseNet-cause.csv,,3,[],['causes'],explicit,"[('stroke', 'death'), ('myocardial_infarction', 'death'), ('cardiovascular_causes', 'death')]",Yes
"Furthermore, leukocytosis with a heterophilia is often observed with infectious diseases caused by bacteria (including Chlamydophila sp.), fungi, and parasites.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('bacteria', 'infectious_diseases'), ('fungi', 'infectious_diseases'), ('parasites', 'infectious_diseases')]",Yes
"Although basic research on normal human attention and performance is his main preoccupation, Dr. Klein has a long standing interest in applying his knowledge to solve real-world problems, especially those that rooted in disorders of attention (e.g., attention deficit disorder, problem gambling, schizophrenia, and disorders caused by damage to the brain as a result of strokes, tumors or accidents).",CauseNet-cause.csv,,2,[],"['caused', 'as a result']",explicit,"[('damage_to_the_brain', 'disorders'), ('strokes', 'damage_to_the_brain'), ('accidents', 'damage_to_the_brain'), ('tumors', 'damage_to_the_brain')]",Yes
"Hazard Analysis is a method of identifying all the potentially hazardous items on the BLIMPIE menu and determining if a biological (bacteria, virus, parasite, etc.), chemical, or physical agent in food that is reasonably likely to cause illness or injury in the absence of its control.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('chemical', 'injury'), ('chemical', 'illness')]",Yes
