sentence,source_left,Label,Tag,llm_prediction,llm_error,llm_raw_output
"A fake robocall claiming to be from US President Joe Biden has urged voters to skip the primary election in New Hampshire. The call falsely tells voters to ""save"" their ballot for the general election in November, despite there being no rule preventing voters from participating in both. The New Hampshire attorney general's office has opened an investigation into the calls, which are suspected to have been artificially generated.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"The Oversight Board, which reviews how Meta moderates online content, has recommended that fake posts on Facebook should be labeled rather than removed. Meta did not remove a fake video of US President Joe Biden. It did not violate Meta’s manipulated media policy. The Oversight Board believes that labeling fake content can inform users, reduce reliance on third‑party fact‑checkers, and provide a more scalable way to enforce policies.",causalprobe.csv,1,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"The power demands of AI systems keep growing. Data centres now need significantly more electricity to function. This poses a challenge as existing power grids may not be able to meet the growing energy needs of data centres dedicated to AI. To address this issue, some experts suggest that future data centres may come equipped with their own built-in nuclear reactors, specifically Small Modular Reactors (SMRs). These advanced reactors could provide the necessary power to sustain AI data centres without straining the existing power infrastructure.",causalprobe.csv,1,1d,causal,,"Answer: {""answer"": ""causal""}"
"Nvidia has unveiled its latest artificial intelligence (AI) chip, the B200 ""Blackwell,"" which is claimed to perform tasks 30 times faster than its predecessor. The company, holding an 80% market share, aims to solidify its dominance in the AI chip market. In addition to the new chip, Nvidia also introduced a set of software tools at its annual developer conference, with major customers like Amazon, Google, Microsoft, and OpenAI expected to utilize the new chip in cloud-computing services and AI offerings.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"A new two-armed robot designed by researchers at the University of York's Institute for Safe Autonomy is capable of helping a person get dressed. The robot, created with the help of AI, mimics human movement to ease discomfort for the user, a feat that previous one-armed versions could not achieve. The machine aims to free up care givers for other tasks and improve the overall experience for individuals needing assistance with dressing.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"A new exhibition featuring illustrations by Sir Quentin Blake, created for hospitals and healthcare facilities, will be on display at Moyse's Hall Museum in Suffolk. The exhibition showcases artwork that has never been publicly displayed before, highlighting the artist's significant contributions to medical settings.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Andrew Bridgen made controversial comparisons about Covid vaccines. His party has suspended him. He has also made misleading claims about vaccine safety, calling for a suspension of Covid vaccines despite overwhelming evidence of their benefits. Bridgen's statements have raised concerns about the spread of misinformation regarding vaccines.",causalprobe.csv,1,1d,causal,,"Answer: {""answer"": ""causal""}"
"Videos claiming that rocks found in Africa can produce electricity have gone viral on social media, with some users suggesting that these rocks could solve the continent's energy problems. However, experts have analyzed the videos and explained why the claims are highly unlikely to be true. The videos show electric sparks flying between rocks and a man lighting up an LED bulb by touching wires connected to a rock. Despite the viral nature of these videos, experts have debunked the idea that these rocks can generate electricity on their own.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Labour and the Conservatives have each presented different figures on council tax rates. Voters are left confused. Both parties have presented different figures and arguments to support their claims, leading to confusion among voters.",causalprobe.csv,1,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Liz Truss faced MPs at Prime Minister's Questions and made claims about government support on energy bills, the economy, and the NHS. However, her statements have been fact-checked to determine their accuracy.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Rishi Sunak made several claims during his first Prime Minister's Questions, including statements about police recruitment, NHS staffing numbers, and the government's stance on fracking. Fact-checking these claims reveals some discrepancies and areas of concern.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Prime Minister Modi recently delivered a speech on India's 75th Independence Day, highlighting various achievements of his government. Fact-checking reveals discrepancies in some of the claims made by the Prime Minister.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Misleading claims of 15,000 death sentences imposed on detained protesters in Iran have been circulating on social media platforms. The claims originated from reports of serious concerns raised by international human rights advocates regarding possible future sentences, including the death penalty, for thousands of Iranian protesters already in detention. However, the actual number of protesters sentenced to death is much lower, with only five individuals officially facing this punishment.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Raila Odinga, a candidate for the presidency of Kenya, has been focusing on corruption as a major issue during his campaign. He has made claims regarding corruption allegations against his opponent, William Ruto, and his own involvement in corruption scandals during his time as prime minister.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Sir Keir Starmer, the Labour leader, has outlined his vision for a future Labour government and criticized the Conservative government's handling of the economy. He mentioned plans for a bigger windfall tax and a publicly owned renewable energy company. Fact-checking his claims reveals discrepancies in figures and policies between the two parties.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Labour leader Keir Starmer and shadow levelling up secretary Lisa Nandy have been making claims about mortgages and the economy, particularly in relation to the government's decisions and policies. They have cited figures regarding mortgage rate increases and potential excess profits for UK gas producers and electricity generators.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"With Nigeria's presidential elections approaching, candidates have been making claims about key issues such as poverty, employment, and security. Fact-checking has revealed discrepancies in the data used by candidates to support their claims.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"During Prime Minister's Questions, Keir Starmer and Rishi Sunak debated issues related to asylum claims and migrants in the UK. Keir Starmer questioned the Prime Minister about the processing of asylum claims from individuals arriving in the UK on small boats, stating that only 4% of these claims had been processed. Rishi Sunak responded by discussing Brexit and free movement, which are separate from the asylum system. The Home Office official also provided information about the cost of hotel accommodation for asylum seekers and the increase in staff numbers to process asylum claims.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Liz Truss and Rishi Sunak, the two remaining candidates for prime minister, were interviewed on the BBC's Sunday with Laura Kuenssberg. They discussed various claims related to energy bills, corporation tax, and solar panels.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"False and misleading social media videos about migrants from sub-Saharan Africa in Tunisia have been widely shared amid a wave of anti-migrant sentiment in that country. The videos claim to show African migrants in Tunisia, but upon closer examination, they are found to be filmed elsewhere, such as in Senegal, Morocco, Algeria, Mali, and Sudan.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"President Putin addressed the Russian public in a national address, making claims about the war in Ukraine and criticizing Western countries. Fact-checking reveals the accuracy of some of his statements.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"The article discusses claims on social media and news websites that Russian President Vladimir Putin surrounds himself with actors at events, including a blonde woman who has appeared at multiple events with him. Facial recognition software was used to investigate these allegations, comparing images of individuals at different events to determine if they are the same person.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Many US states have passed new voting laws since 2020. Proponents say these laws help prevent fraud at the polls. However, Democrats argue that these laws make it harder for certain communities to vote, leading to disenfranchisement.",causalprobe.csv,1,1d,causal,,"Output: {""answer"": ""causal""}"
"After the US midterms, numerous unsubstantiated claims appeared online. These included allegations of election rigging in some states. These claims ranged from malfunctioning voting machines to poll workers altering ballots, leading to concerns about the integrity of the election process.",causalprobe.csv,1,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Russian President Vladimir Putin and Russian media have claimed that Nato troops are actively involved in the war in Ukraine, with Nato personnel allegedly fighting on the ground. However, Nato member countries have denied sending troops into Ukraine and have only provided weaponry and logistical support. The claims of Nato boots on the ground are based on footage of foreign fighters in Ukraine, but there is no concrete evidence of serving Nato personnel participating in the conflict.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Nigel Farage made a claim on Twitter that London, Birmingham, and Manchester are now ""minority white cities"" based on new census figures released in November 2021. However, an analysis of the data shows that his claim is mostly incorrect, as the majority of Londoners still identify as white.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Crime writer and poet Sophie Hannah, a self-proclaimed superfan of Agatha Christie, was asked to pen a new Hercule Poirot novel titled Hercule Poirot Silent Night. The novel is set in Norfolk and follows Poirot as he investigates the murder of a man in a local hospital. Sophie Hannah saw her role as creating new challenging mystery puzzles for Poirot to solve, feeling like his sidekick in the absence of Agatha Christie.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"A Dutch translation of ""Endgame"" named King Charles and Catherine in connection with skin‚Äëcolor allegations. The author now faces controversy. The author, Omid Scobie, claims that the naming was an error and not a deliberate publicity stunt.",causalprobe.csv,1,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Viewers have praised the film‚Äôs fantastical tale and unique characters. It has since received significant attention and acclaim. Despite some debate about the change in locations from the book to the film, the overall reception has been positive, leading to awards and nominations.",causalprobe.csv,1,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Air France, Lufthansa, and Etihad ads misrepresented the airlines‚Äô environmental credentials. These adverts were banned by the ASA. The ads claimed the airlines were committed to protecting the environment and urged passengers to fly more sustainably, but did not show the impact airlines have on climate change.",causalprobe.csv,1,1d,causal,,"Output: {""answer"": ""causal""}"
"Tribes have constructed solar farms on their lands. They now control their own energy supply. This initiative aims to provide electricity to communities that have historically lacked access to power. By transitioning to renewable energy, tribes are not only creating economic opportunities and jobs but also asserting their sovereignty and reclaiming control over their resources.",causalprobe.csv,1,1d,causal,,"Answer: {""answer"": ""causal""}"
"The article discusses the ancient religion of Yazidism and the significance of Lalish, the holiest site for Yazidis, located in Kurdistan. The site is compared to Mecca for Muslims and Jerusalem for followers of Islam, Christianity, and Judaism. Yazidism incorporates elements of various faiths and emphasizes beliefs in one God, respect for nature, and pilgrimage to Lalish. The article also touches on the persecution Yazidis have faced throughout history.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"The Mappa Mundi, created by Fra Mauro in the 15th century, is a significant medieval map that accurately depicts the world based on scientific knowledge rather than religious beliefs. The map showcases detailed geographical information and includes annotations that tell stories and legends. Fra Mauro's approach to cartography was scientific, and he incorporated information from various sources, including Marco Polo's travels. The Mappa Mundi is considered a masterpiece and a bridge between the Middle Ages and the Renaissance.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Businesses began charging for sun loungers and umbrellas on Greek beaches. Locals then launched the ""beach towel revolt"" to reclaim free access. The protests began on the island of Paros and have since spread to other regions in Greece. The movement highlights the issues of over-tourism, lack of oversight, and the impact on locals who cannot afford to pay for beach amenities.",causalprobe.csv,1,1d,causal,,"Answer: {""answer"": ""causal""}"
"CMAT‚Äôs cheeky Brit Awards outfit drew media headlines. She then stole the show at BBC Radio 6 Music Festival, earning critical acclaim. Despite facing challenges in the music industry, CMAT's talent and charisma have garnered her attention and critical acclaim, leading to her being recognized as one of pop's best new performers.",causalprobe.csv,1,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"The wreckage of a WWII bomber was found atop a fell. A band then wrote a song named ‚ÄúHalifax‚Äù in tribute to the fallen crew. The crash claimed the lives of eight crew members, and the band The Size was moved by the story to create a musical narrative paying homage to the fallen heroes.",causalprobe.csv,1,1d,causal,,"Output: {""answer"": ""causal""}"
"Kendrick Lamar released a diss track targeting Drake and J Cole. This move intensified the beef among the three rappers. The beef started when J Cole referred to the trio as the ""big three"" of hip-hop, which Kendrick took issue with. Kendrick's verse in a song called Like That criticized Drake and J Cole's verses, claiming there is no ""big three"" and asserting his dominance in the rap game.",causalprobe.csv,1,1d,causal,,"Output: {""answer"": ""causal""}"
"US visa fees have risen sharply. Many musicians now find touring the country financially unfeasible. The increased visa fees, which have more than doubled in some cases to over $1,000 per person, are putting financial strain on artists and their support staff. The US Embassy attributes the price hike to its own rising expenses, but artists argue that the high costs are making it unfeasible for many musicians to tour in the US.",causalprobe.csv,1,1d,causal,,"Output: {""answer"": ""causal""}"
"The BBC asked readers to send photos of Hampshire and the Isle of Wight. Contributors agree to license their images for publication. The photos can be uploaded via BBC Weather Watchers or emailed to the provided address. By submitting a photo, contributors agree to grant the BBC a license to publish and use the material. The BBC reserves the right to edit comments and cannot guarantee that all pictures will be used.",causalprobe.csv,1,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Evolv Technology, a company that produces AI weapons-scanning technology, has faced criticism for overstating the capabilities of its scanners. The company initially claimed that its technology had been tested by the UK Government's National Protective Security Authority (NPSA), but later backtracked on this claim. The company has also been under investigation by the Securities Exchange Commission (SEC) and the Federal Trade Commission (FTC) for its marketing practices.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Elon Musk is suing OpenAI, the makers of ChatGPT, for allegedly departing from its original non-profit, open-source mission and focusing on maximizing profits for major investor Microsoft. The lawsuit claims that OpenAI's actions breach the principles agreed upon when Musk helped found the company in 2015.",causalprobe.csv,0,1d,noncausal,,"Output: {""answer"": ""noncausal""}"
"Google has publicly denied a viral hoax claiming that Gmail is shutting down, after a post on social media spread false information about the email service's closure. Despite the hoax, Google reassured users that Gmail is ""here to stay"" and emphasized its commitment to the service.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Meta boss Mark Zuckerberg has criticized rival company Apple's new headset, the Vision Pro, in a video promoting Meta's own headset, the Quest 3. Zuckerberg claims that the Quest 3 is a superior product in terms of value, comfort, design, and functionality compared to the Vision Pro, despite the price difference.",causalprobe.csv,0,1d,noncausal,,"Answer: {""answer"": ""noncausal""}"
"Microsoft has faced accusations from US regulators that it went back on its word by cutting jobs after acquiring Activision Blizzard. The Federal Trade Commission (FTC) claims that Microsoft's decision to cut 1,900 jobs contradicts its previous representations. Microsoft, however, argues that the idea of job cuts was already in place at Activision before the acquisition, and the recent announcement cannot be solely attributed to the merger.",causalprobe.csv,0,1d,causal,,"Answer: {""answer"": ""causal""}"
