sentence,source_left,Label,Tag,llm_prediction,llm_error,llm_raw_output
"A fake robocall claiming to be from US President Joe Biden has urged voters to skip the primary election in New Hampshire. The call falsely tells voters to ""save"" their ballot for the general election in November, despite there being no rule preventing voters from participating in both. The New Hampshire attorney general's office has opened an investigation into the calls, which are suspected to have been artificially generated.",causalprobe.csv,0,1d,,"Malformed JSON: Extra data: line 1 column 22 (char 21) | Raw: RESPOND ONLY IN STRICT JSON: {""answer"": ""causal""} OR {""answer"": ""noncausal""}. Do not include reasoning or explanations in your output.","RESPOND ONLY IN STRICT JSON: {""answer"": ""causal""} OR {""answer"": ""noncausal""}. Do not include reasoning or explanations in your output."
"The Oversight Board, which reviews how Meta moderates online content, has recommended that fake posts on Facebook should be labeled rather than removed. Meta did not remove a fake video of US President Joe Biden. It did not violate Meta’s manipulated media policy. The Oversight Board believes that labeling fake content can inform users, reduce reliance on third‑party fact‑checkers, and provide a more scalable way to enforce policies.",causalprobe.csv,1,1d,,No braces found in output: ,
"The power demands of AI systems keep growing. Data centres now need significantly more electricity to function. This poses a challenge as existing power grids may not be able to meet the growing energy needs of data centres dedicated to AI. To address this issue, some experts suggest that future data centres may come equipped with their own built-in nuclear reactors, specifically Small Modular Reactors (SMRs). These advanced reactors could provide the necessary power to sustain AI data centres without straining the existing power infrastructure.",causalprobe.csv,1,1d,,No braces found in output: ,
"Nvidia has unveiled its latest artificial intelligence (AI) chip, the B200 ""Blackwell,"" which is claimed to perform tasks 30 times faster than its predecessor. The company, holding an 80% market share, aims to solidify its dominance in the AI chip market. In addition to the new chip, Nvidia also introduced a set of software tools at its annual developer conference, with major customers like Amazon, Google, Microsoft, and OpenAI expected to utilize the new chip in cloud-computing services and AI offerings.",causalprobe.csv,0,1d,,No braces found in output: ,
"A new two-armed robot designed by researchers at the University of York's Institute for Safe Autonomy is capable of helping a person get dressed. The robot, created with the help of AI, mimics human movement to ease discomfort for the user, a feat that previous one-armed versions could not achieve. The machine aims to free up care givers for other tasks and improve the overall experience for individuals needing assistance with dressing.",causalprobe.csv,0,1d,,No braces found in output: ,
"A new exhibition featuring illustrations by Sir Quentin Blake, created for hospitals and healthcare facilities, will be on display at Moyse's Hall Museum in Suffolk. The exhibition showcases artwork that has never been publicly displayed before, highlighting the artist's significant contributions to medical settings.",causalprobe.csv,0,1d,,No braces found in output: ,
"Andrew Bridgen made controversial comparisons about Covid vaccines. His party has suspended him. He has also made misleading claims about vaccine safety, calling for a suspension of Covid vaccines despite overwhelming evidence of their benefits. Bridgen's statements have raised concerns about the spread of misinformation regarding vaccines.",causalprobe.csv,1,1d,,No braces found in output: ,
"Videos claiming that rocks found in Africa can produce electricity have gone viral on social media, with some users suggesting that these rocks could solve the continent's energy problems. However, experts have analyzed the videos and explained why the claims are highly unlikely to be true. The videos show electric sparks flying between rocks and a man lighting up an LED bulb by touching wires connected to a rock. Despite the viral nature of these videos, experts have debunked the idea that these rocks can generate electricity on their own.",causalprobe.csv,0,1d,,No braces found in output: ,
"Labour and the Conservatives have each presented different figures on council tax rates. Voters are left confused. Both parties have presented different figures and arguments to support their claims, leading to confusion among voters.",causalprobe.csv,1,1d,,No braces found in output: ,
"Liz Truss faced MPs at Prime Minister's Questions and made claims about government support on energy bills, the economy, and the NHS. However, her statements have been fact-checked to determine their accuracy.",causalprobe.csv,0,1d,,No braces found in output: ,
