sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"In her work at Meshbesher & Spence, Ms. Flom represents people with muscle and ligament injuries, scarring, fractures, psychological trauma, and injuries causing paralysis or death.",CauseNet-cause.csv,,2,[],[],implicit,"[('injuries', 'death'), ('injuries', 'paralysis')]",Yes
"From the saliva test results, Dr. Theresa Dale determines the correct Neuro-Emotional meridian remedies needed to rejuvenate organs related to saliva collection times and to help release suppressed emotions that are causing stress and possibly disease.",CauseNet-cause.csv,,2,[],[],implicit,"[('suppressed_emotions', 'disease'), ('suppressed_emotions', 'stress')]",Yes
"However, nothing in this section shall be construed to increase the penalty for cockfighting provided for in G.S. (c) As used in this section, the words ""torture"", ""torment"", and ""cruelly"" include or refer to any act, omission, or neglect causing or permitting unjustifiable pain, suffering, or death.",CauseNet-cause.csv,,2,[],[],implicit,"[('neglect', 'death'), ('neglect', 'suffering')]",Yes
"The U.K.'s Whale and Dolphin Conservation Society, which recently launched an Oceans of Noise campaign, says there is evidence that all the noise is causing hearing loss, injury, and even death in cetaceans (whales, dolphins, and porpoises).",CauseNet-cause.csv,,2,[],[],implicit,"[('noise', 'hearing_loss'), ('noise', 'injury')]",Yes
"Likes: Experimenting on people, chasing men she normally just has a flings with, killing things, mutation, robots, cyborg-mutants, goggles, things with multiple eyes/legs/heads etc, spandex, rock and techno music, raves and dark bars with glowing drinks, money, her home made drugs, video games, lasers, sci-fi, comic books, thunderstorms, causing pain and suffering at the expense of others, and plotting against Dr. Dreadful, said Doctor's lab (she wants it).",CauseNet-cause.csv,,2,[],[],implicit,"[('drugs', 'pain'), ('drugs', 'suffering')]",Yes
"One of the concerns you often hear about biosolids is that, in addition to the risk of passing on potential human pathogens such as disease causing bacteria, protozoa or viruses that are removed by Centralia's process, biosolids contain heavy metals (Copper, Zinc, Mercury, Cadmium, etc.) or residues from dangerous chemicals that can pose a health risk.",CauseNet-cause.csv,,2,[],[],implicit,"[('disease', 'bacteria'), ('disease', 'viruses')]",Yes
"""There are small increases in certain types of cancers,"" Dr. Applebaum said, but those tend to be cancers that are associated with infections - like stomach cancer, associated with ulcer-causing Helicobacter pylori; liver cancer, associated with hepatitis B and hepatitis C infections; Kaposi's sarcoma, associated with herpesvirus 8 infections; lymphoma, associated with Epstein-Barr virus; and cervical cancer, associated with human papillomavirus.",CauseNet-cause.csv,,2,[],[],implicit,"[('human_papillomavirus', 'cervical_cancer'), ('hepatitis_b', 'liver_cancer'), ('epstein-barr_virus', 'lymphoma'), ('cancers', 'infections')]",Yes
"No part of this Web Site or Content can be redistributed, copied, adapted or reproduced without the prior written consent of Dr. Only 30 years ago, the thought of infections causing gastric ulcers and heart disease was unheard of in the scientific and medical community.",CauseNet-cause.csv,,2,[],[],implicit,"[('infections', 'heart_disease'), ('infections', 'gastric_ulcers')]",Yes
"Free radicals such as the sun, smog, smoke, cigarettes, etc. attack us, causing aging, wrinkles, and cancer.",CauseNet-cause.csv,,2,[],[],implicit,"[('sun', 'wrinkles'), ('sun', 'aging'), ('sun', 'cancer')]",Yes
"The world today is witnessing similar events in that economies are failing, drought is causing famine and loss of life, natural disasters (earthquakes, raging fires, floods, etc.) seem to be in the news on a daily basis.",CauseNet-cause.csv,,2,[],[],implicit,"[('drought', 'famine'), ('drought', 'loss_of_life')]",Yes
"A South Florida fall accident injury lawyer may be consulted by families of injured or deceased Fla. workers to help determine whether employer liability, premises liability, or other third-party negligence may have contributed to a work accident causing injury or death.",CauseNet-cause.csv,,2,[],[],implicit,"[('work_accident', 'injury'), ('work_accident', 'death')]",Yes
"However, BEFORE dosing yourself with MORE substances beware of any adverse interactions they might have with any medicines already being taken, please be sure to eliminate any illegal drugs, chemicals, supplements, heavy metal toxins, possible metabolic problems and food sensitivities that could be causing your problem(s) in the first place, and be sure to flush out the system (your blood stream, kidneys, etc.) every day from now on between meals with six to twelve 8 oz.",CauseNet-cause.csv,,2,[],[],implicit,"[('chemicals', 'problem'), ('illegal_drugs', 'problem'), ('supplements', 'problem')]",Yes
"after offense Murder, arson causing death: none; homicide by abuse, vehicular homicide, vehicular assault causing death, hit-and-run injury/accident causing death: none; public official misconduct, arson: 10 yrs.; rape if reported 1 yr.",CauseNet-cause.csv,,2,[],[],implicit,"[('arson', 'death'), ('vehicular_assault', 'death')]",Yes
"If one tries the entry- cyclosporin, St. What's more, some medications increase the effects of alcohol causing dizziness, drowsiness, inability to control balance or walk properly, as well as many others.",CauseNet-cause.csv,,2,[],[],implicit,"[('alcohol', 'drowsiness'), ('alcohol', 'dizziness')]",Yes
"The Law Offices of Charles D. Naylor announced recently that the United States Supreme Court issued a unanimous decision (Pacific Operators Offshore L.L.P. v. Valladolid) providing for fair workers compensation benefits to offshore oil workers, regardless of where the accident causing their injury or death occurs.",CauseNet-cause.csv,,2,[],[],implicit,"[('accident', 'death'), ('accident', 'injury')]",Yes
"Answered by Ross Hauser, M.D. Q. I have done 3 sessions of prolotherapy to my cervical spine, for herniated disc at C5-6 Level causing pain, stiffness and headaches.",CauseNet-cause.csv,,2,[],[],implicit,"[('herniated_disc', 'pain'), ('herniated_disc', 'headaches')]",Yes
"In the July 1949 Southern Medicine and Surgery, Dr. Klenner presented his results of studies on the antagonistic properties of ascorbic acid to the viruses causing measles, mumps, rubella and poliomyelitis as well as atypical pneumonia.",CauseNet-cause.csv,,2,[],[],implicit,"[('viruses', 'measles'), ('viruses', 'mumps'), ('viruses', 'rubella'), ('viruses', 'poliomyelitis')]",Yes
"from there it seems to become cyclical, stress causing depression causing stress, etc. round & round she goes, where she stops nobody knows.",CauseNet-cause.csv,,2,[],[],implicit,"[('stress', 'depression'), ('depression', 'stress')]",Yes
"In a little-heeded warning issued at a 2009 conference on the subject, experts outlined a range of mechanisms by which climate change could already be causing more earthquakes, tsunamis, and volcanic activity. . . .",CauseNet-cause.csv,,4,[],[],implicit,"[('climate_change', 'tsunamis'), ('climate_change', 'earthquakes')]",Yes
"76, 77, 78); perjury; fabricating evidence; incest; criminal negligence causing death or bodily harm; murder; manslaughter; infanticide; killing unborn child; attempted murder; choking; dangerous operation of motor vehicle causing death; impaired driving causing death; wounding; impaired operation causing death; aggravated assault; sexual assault with threats or weapon; aggravated sexual assault; kidnapping; hostage taking; robbery; extortion; arson (s. 433); any conspiracy charge; instructing commission of offence for criminal organization; dangerous offender applications; attempt to commit any offence named in this item or item 1.2; counselling any offence named in this item or item 1.2.",CauseNet-cause.csv,,2,[],[],implicit,"[('criminal_negligence', 'death'), ('motor_vehicle', 'death')]",Yes
( ABSTRACT TRUNCATED AT 250 WORDS) Determination of tilmicosin in ovine milk using high-performance liquid chromatography; Parker RM et al. ; Tilmicosin is a novel macrolide antibiotic with a wide range of therapeutic uses against gram positive (+ve) and gram negative (-ve) bacteria and mycoplasmae causing pneumonia and mastitis and can be used to treat these diseases in sheep .,CauseNet-cause.csv,,2,[],[],implicit,"[('bacteria', 'pneumonia'), ('bacteria', 'mastitis')]",Yes
"In fact, another U.K. study showed that men were responsible for a mind-boggling 97% of dangerous driving offenses, and 94% of accidents causing injuries or fatalities.",CauseNet-cause.csv,,2,[],[],implicit,"[('accidents', 'injuries'), ('accidents', 'fatalities')]",Yes
The introduction of cryoprecipitate by Dr. Judith Pool made treatment far more efficient but unfortunately it was also introducing viruses causing hepatitis and other complications.,CauseNet-cause.csv,,2,[],[],implicit,"[('viruses', 'hepatitis'), ('viruses', 'complications')]",Yes
