SentenceID,sentence,source,IntervsIntra,implicit_vs_explicit,multiple_c_e,causal_marker,ExpTag,CauseEffect Answer,Model Answer CE,EXPorIMP,sentential_scope,Evaluation,Primary Error,EvalCE,EvalModelCM,EvalEXPorIMP,Evalsentential_scope,Model,Prompt style,Score,CauseEffect_is_list,Exact Match
7153,"Continuing the theme of scenario 9, A country's significant investment in renewable energy coincided with a reduction in unemployment rates. During the same period, there was a global economic upturn and advancements in automation technology.",causalnet.csv,Intersentencial,implicit,Yes,,2h,"[('significant investment in renewable energy', 'reduction in unemployment rates'), ('significant investment in renewable energy', 'a global economic upturn and advancements in automation technology.')]","[(""A country's significant investment in renewable energy"", 'a reduction in unemployment rates'), ('global economic upturn', 'a reduction in unemployment rates'), ('advancements in automation technology', 'a reduction in unemployment rates')]","['implicit', 'implicit', 'implicit']","['intersentential', 'intersentential', 'intersentential']",0.5,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
5525,And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary .,ECI-B_CTB_EN.csv,Intrasentencial,implicit,No,,2b,"[('need to carry out a blockade/support war', 'u.s. is taking similar steps to ensure naval adequacy')]","[('the U.S. is taking similar steps', 'ensure that its naval force is adequate to carry out a blockade of Iraq'), ('the U.S. is taking similar steps', 'support a war if necessary')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4462,"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge .",ECI-B_CTB_EN.csv,intrasentencial,explicit,Yes,['result in'],2e,"[('cost-cutting move', 'upjohn co. will offer an early retirement package to as many as 1,100 employees'), ('cost-cutting move', 'expected to result in a fourth-quarter charge')]","[('Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees', 'cost-cutting move'), ('cost-cutting move', 'fourth-quarter charge')]","['explicit', 'explicit']","['intrasentential', 'intrasentential']",0.5,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
3397,"Interesting piece in the New York Times on the effect of interruptions caused by email, IM etc. [Image] 28% of the day handling non-urgent unimportant things, and 15% of the day spent searching for information.",CauseNet-cause.csv,Intrasentencial,explicit,No,"['cause', 'caused', 'effect']",2a,"[('email', 'interruptions')]","[('interruptions caused by email, IM etc.', '28% of the day handling non-urgent unimportant things'), ('interruptions caused by email, IM etc.', '15% of the day spent searching for information')]","['explicit', 'explicit']","['intrasentential', 'intrasentential']",0,Hallucination of data,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
2311,Injury is a leading cause of morbidity and mortality in Canada and health care costs associated with injury and trauma are significant.,CauseNet-cause.csv,Intrasentencial,explicit,Yes,['cause'],2e,"[('injury', 'morbidity'), ('trauma', 'morbidity')]","[('Injury', 'a leading cause of morbidity'), ('Injury', 'mortality'), ('health care costs associated with injury and trauma', 'are significant')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.5,Hallucination of data,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
6039,"Using rockets fired on several Israeli towns as a diversion , Hezbollah militants crossed from Lebanon into Israel and ambushed two Israeli Army vehicles , killing three soldiers and capturing two other soldiers .",ECI-B_MAVEN-ERE_EN.csv,Intrasentencial,implicit,Yes,,2f,"[('rockets fired on several isreali towns', 'a diversion'), ('hezbollah millitants ambushed two isreali army vehicles', 'three soldiers killed'), ('hezbollah millitants ambushed two isreali army vehicles', 'two soldiers captured')]","[('Using rockets fired on several Israeli towns as a diversion', 'Hezbollah militants crossed from Lebanon into Israel'), ('Using rockets fired on several Israeli towns as a diversion', 'ambushed two Israeli Army vehicles'), ('ambushed two Israeli Army vehicles', 'killing three soldiers'), ('ambushed two Israeli Army vehicles', 'capturing two other soldiers')]","['implicit', 'implicit', 'implicit', 'implicit']","['intrasentential', 'intrasentential', 'intrasentential', 'intrasentential']",0.6667,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
1287,"Clearly, money and his own life are more important to Mr. Wells than undoing all of the harm caused by his product.",CauseNet-cause.csv,Intrasentencial,explicit,No,"['cause', 'caused']",2a,"[('product', 'harm')]","[('money and his own life are more important to Mr. Wells', 'undoing all of the harm caused by his product')]",['explicit'],['intrasentential'],0,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
5617,"The opinion , which found the gender distinction reasonable , relied heavily on outmoded generalities about family roles , including the flawed presumption that mothers have a closer relationship to their children than fathers do .",ECI-B_CTB_EN.csv,Intrasentencial,implicit,No,,2b,"[('outmoded generalities about family roles', 'the opinion... found the gender distinction reasonable')]","[('outmoded generalities about family roles', 'relied heavily'), ('flawed presumption that mothers have a closer relationship to their children than fathers do', 'relied heavily')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
6622,"An intervention that guarantees rukz aligns with the scenarios under which pexu occurs, contributing directly to rukz. Thus, it is likely that pexu occurred if rukz is guaranteed through intervention.",CausalBench_Text_Part.csv,Intrasentencial,implicit,No,,2b,"[('""if rukz is guaranteed through intervention"",', '""it is likely that pexu occurred""]')]","[('An intervention that guarantees rukz aligns with the scenarios under which pexu occurs', 'contributing directly to rukz'), ('pexu occurred', 'rukz is guaranteed through intervention')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
5678,"Net income includes an extraordinary gain of about $ 100,000 from the reversal of bad debt and interest income .",ECI-B_CTB_EN.csv,Intrasentencial,implicit,No,,2b,"[('reversal of bad debt and interest income', 'extraordinary gain of about $100,000')]","[('reversal of bad debt', 'extraordinary gain of about $ 100,000'), ('interest income', 'extraordinary gain of about $ 100,000')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0.5,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
8790,"""Among emergency department patients with nontraumatic headache, certain warning signs—including changes in headache pattern, motor deficits, and altered consciousness—strongly predicted intracranial pathology. Recognition of these predictors can guide clinical imaging decisions, potentially preventing missed diagnoses.""",PubMed,Intersentential,explicit,Yes,"""strongly predicted"", ""can guide"", ""potentially preventing""",2g,"[('warning signs', 'predicted pathology'), ('recognition', 'guide decisions'), ('guidance', 'prevent missed diagnoses')]","[('certain warning signs—including changes in headache pattern, motor deficits, and altered consciousness', 'intracranial pathology'), ('Recognition of these predictors', 'guide clinical imaging decisions'), ('Recognition of these predictors', 'potentially preventing missed diagnoses')]","['explicit', 'explicit', 'explicit']","['intersentential', 'intersentential', 'intersentential']",0.6667,Incorrect matching,0,incorrect,correct,incorrect,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4191,"Given that lung cancer is caused by high tar deposits and smoking prevents tar deposits, the likelihood of a person having lung cancer is more probable if they were nonsmoking.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,['caused'],2e,"[('hugh tar deposit', 'lung cancer'), ('smoking', 'absence of tar deposit'), ('non smoking', 'lung cancer')]","[('lung cancer is caused by high tar deposits', 'the likelihood of a person having lung cancer is more probable'), ('smoking prevents tar deposits', 'the likelihood of a person having lung cancer is more probable')]","['explicit', 'explicit']","['intrasentential', 'intrasentential']",0.5,Mixed (correct + False Positive),0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
6790,"Given the substantial difference in the probability of death (78% vs. 40%), a prisoner's death more likely follows the captain's decision to execute. This suggests that when a prisoner dies, it is more probable that the decision to execute, as opposed to release, was made.",CausalBench_Text_Part.csv,Intrasentencial,implicit,No,,2b,"[('""when a prisoner dies"",', '""it is more probable that the decision to execute, as opposed to release, was made""]')]","[('Given the substantial difference in the probability of death (78% vs. 40%)', ""a prisoner's death more likely follows the captain's decision to execute""), (""a prisoner's death more likely follows the captain's decision to execute"", 'when a prisoner dies, it is more probable that the decision to execute, as opposed to release, was made')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0.5,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
