S/N,sentence,source,IntervsIntra,CauseEffect,implicit_vs_explicit,multiple_c_e,causal_marker,ExpTag,CE,ModelCM,EXPorIMP,sentential_scope,EvalCE,EvalModelCM,EvalEXPorIMP,Evalsentential_scope
7153,"Continuing the theme of scenario 9, A country's significant investment in renewable energy coincided with a reduction in unemployment rates. During the same period, there was a global economic upturn and advancements in automation technology.",causalnet.csv,Intersentencial,"[('significant investment in renewable energy', 'reduction in unemployment rates'), ('significant investment in renewable energy', 'a global economic upturn and advancements in automation technology.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
5525,And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary .,ECI-B_CTB_EN.csv,Intrasentencial,"[('need to carry out a blockade/support war', 'u.s. is taking similar steps to ensure naval adequacy')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
4462,"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge .",ECI-B_CTB_EN.csv,intrasentencial,"[('cost-cutting move', 'upjohn co. will offer an early retirement package to as many as 1,100 employees'), ('cost-cutting move', 'expected to result in a fourth-quarter charge')]",explicit,Yes,['result in'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
3397,"Interesting piece in the New York Times on the effect of interruptions caused by email, IM etc. [Image] 28% of the day handling non-urgent unimportant things, and 15% of the day spent searching for information.",CauseNet-cause.csv,Intrasentencial,"[('email', 'interruptions')]",explicit,No,"['cause', 'caused', 'effect']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5818,"""The earthquake was really strong , and people poured into the streets in panic .",ECI-B_ESC_EN.csv,Intrasentencial,"[('the earthquake was really strong', 'people poured into the streets in panic')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
3837,"The SEACOM undersea cable , which provides a data link between South Africa , Europe and India , experienced downtime beginning on Saturday 8 October 2011 , caused by a problem on a cable between Abu Talat ( Egypt ) and Marseilles ( France ) .",ECI-B_ESC_EN.csv,intrasentencial,"[('problem on a cable between abu talat (egypt) and marseilles (france)', 'seacom undersea cable experienced downtime beginning on saturday 8 october 2011')]",explicit,No,['caused'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
1983,"""Efforts of John Innes Centre and universities in the UK , supported by BBSRC , resulted in the creation of spin - out companies , for example Novacta Biosystems , which has designed the type - b lantibiotic - based compound NVB302 ( in phase 1 ) to treat Clostridium difficile infections .""",medcaus.csv,Intrasentencial,"[('`` Efforts of John Innes Centre and universities in the UK , supported by BBSRC', 'in the creation of spin - out'), ('`` Efforts of John Innes Centre and universities in the , supported by', 'in the creation of spin - out')]",explicit,Yes,['resulted in'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
2431,"Diabetes is a major cause of heart disease and stroke, as well as the most common cause of blindness, kidney failure, and amputations in U.S. adults.",CauseNet-cause.csv,Intrasentencial,"[('diabetes', 'stroke'), ('diabetes', 'heart_disease')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
5616,"Lower rates have helped invigorate housing and other interest-sensitive sectors of the economy by making loans more affordable , and have allowed companies to continue investing heavily in more efficient equipment .",ECI-B_CTB_EN.csv,Intrasentencial,"[('lower rates have helped invigorate housing and other interest-sensitive sectors of the economy by making loans more affordable', 'have allowed companies to continue investing heavily in more efficient equipment')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
7323,"The individual writing to Philippa Perry has a history of childhood abuse, including being neglected by their mother and sexually abused by a family friend. Despite undergoing therapy and building a successful life, the individual now faces the dilemma of caring for their deteriorating mother, who was not protective during their childhood. The individual is conflicted between wanting to do the right thing for their mother and the negative impact it has on their mental health and well-being.",causalprobe.csv,Intrasentencial,"[('""neglection by mother""', '""history of childhood trauma""'), ('""sexually abused by a family friend""', '""history of childhood trauma""'), ('""wanting to do the right thing of taking care of the mother""', '""negative impact on their metal healh and well-being""')]",implicit,Yes,,2f,,,[],[],0.0,incorrect,incorrect,incorrect
