sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
Utility and Fire District Negotiations: Mr. Barnett reported that the county has held seven meetings with of the fire and water districts with the goal of drafting new Larimer County Water and Fire Protection Standards in order to deal with the problems caused by rapid growth.,CauseNet-cause.csv,,2,[],['caused'],explicit,"[('rapid_growth', 'problems')]",No
"During hyperventilation, which is caused by rapid breathing, there is a reduction in the concentration of carbon dioxide so the equilibrium position shifts to the left by Le Chatelier's principle, decreasing the concentration of hydrogen ions and raising the pH. This is known as alkolisis.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('rapid_breathing', 'hyperventilation')]",No
"""When global warming causes worldwide disasters and leads to an ice age, a climatologist must travel from Washington, D.C. to New York to save his trapped son.",CauseNet-cause.csv,,2,[],"['causes', 'leads to']",explicit,"[('global_warming', 'ice_age')]",No
"Although rare (approx. 0.5-1 percent), surgical complications may cause death.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('surgical_complications', 'death')]",No
"Twelve years after Dr. Andrew Wakefield published his research in The Lancet, an international medical journal, claiming that the measles-mumps-rubella (MMR) vaccine causes autism, the journal formally retracted his paper yesterday (Feb.",CauseNet-cause.csv,,2,['claiming'],['causes'],explicit,"[('vaccine', 'autism')]",No
Paratuberculosis (Johne's disease) is a chronic enteritis that affects ruminants and is caused by Mycobacterium avium subsp. paratuberculosis.,CauseNet-cause.csv,,2,[],['caused'],explicit,"[('mycobacterium_avium_subsp_._paratuberculosis', 'chronic_enteritis')]",No
"The first evidence that MSG caused brain damage in the form of retinal degeneration was published in 1957 (Lucas, D.R. and Newhouse, J. P.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('msg', 'brain_damage')]",No
"Mackowiak agrees with Dr. Benitez that rabies was the most likely cause of Poe's death, based on the available evidence.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('rabies', ""poe_'s_death"")]",No
"In June 2009, Medtronic Inc. issued an urgent recall of certain Kappa and Sigma pacemakers because of wiring problems that could cause the devices to fail.",CauseNet-cause.csv,,2,[],"['because', 'cause']",explicit,"[('wiring_problems', 'devices_to_fail')]",No
* Eleven former employees of the Johns-Manville Co. filed suit in 1933 claiming that their work had caused asbestosis.,CauseNet-cause.csv,,2,['claiming'],['caused'],explicit,"[('work', 'asbestosis')]",No
This further re-enforces the argument that this food shortage is NOT caused by drought. . . .,CauseNet-cause.csv,,4,[],['caused'],explicit,"[('drought', 'food_shortage')]",No
"Adco Group et al. v. Travelers et al. (complex action involving the coordination of multiple lawsuits with over 25 parties, claims of $250 million in construction defects and damage at a luxury resort in Southern California, and involving issues regarding the extent of construction defects, their cause, damage allegedly resulting from the defects and its manifestation, as well as the calculation of the reasonable cost of repairing the property)",CauseNet-cause.csv,,3,['claims'],['cause'],explicit,"[('defects', 'damage')]",No
"""In our study, viral DNA does locate to oligodendrocytes, the cells that make the myelin that is the target of inflammation,"" Dr. ""The implication is that this could be the target of the immune response that causes inflammation and ultimately scars the nervous system.""",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('immune_response', 'inflammation')]",No
"Pasco-Pinellas Medical Examiner Joan Wood stunned prosecutors in February when she amended her autopsy report to say Lisa McPherson died accidentally Dec. 5, 1995, as the result of a blood clot caused by a traffic accident.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('traffic_accident', 'blood_clot')]",No
*Remove toxins and body waste products that can cause health problems *Chelate heavy metals *Etc. - contact us for health benefits report compiled from our customers,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('toxins', 'health_problems')]",No
Geographic correlation between deprivation and risk of meningococcal disease: an ecological study; Williams CJ et al. ; BACKGROUND: Meningitis caused by Neisseria meningitidis is a serious infection which is most common in young children and adolescents .,CauseNet-cause.csv,,2,[],['caused'],explicit,"[('neisseria_meningitidis', 'meningitis')]",No
"Americablog | Becker/Posner | BlueNC | Samantha Burns | ColdHeartedTruth | Conservative Perspective | The Corner | Country Store | Demosthenes | Everything I Know is Wrong | A Little Extra Sparkle | In the Loop | Iraq the Model | Jesusgreek | The Knight Shift | Living With Epilepsy | Lockjaw's Lair | New Federalist | The North Lot | North StateBloggers | NCBlogs.com | The Oracle of Emeriol | The Prejudicial Effect | Q and O | Reactuate | RealClearPolitics | Red Clay Citizen | Riding Sun | Seeing the Forest | Chris Hall's Spacecraft | Viewfinder Blues | The View from Arlen | unfutz | Varmint Bites Carolina to Columbia | National Review | Slate | The New Republic | The American Enterprise | American Spectator | The Weekly Standard | Mike Adams | Jonah Goldberg | Jonathan Alter | Ann Coulter | Paul Krugman | Walter Williams | Thomas Sowell | Media Research Center | Accuracy in Media | David Brooks | Larry Elder | John Stossel | Susan Estrich | David Broder | Mickey Kaus | Instapundit | Michael Kinsley | Charles Krauthammer | Rush Limbaugh | Dick Morris | Peggy Noonan | Opinion Journal | Michelle Malkin | Richard Reeves | George Will | David Corn | Newsmax | World Net Daily | Mark Steyn | SteynOnline | Town Hall | Fareed Zakaria February 2003 March 2003 April 2003 May 2003 June 2003 July 2003 August 2003 September 2003 October 2003 November 2003 December 2003 January 2004 February 2004 March 2004 April 2004 May 2004 June 2004 July 2004 August 2004 September 2004 October 2004 November 2004 December 2004 January 2005 February 2005 March 2005 April 2005 May 2005 June 2005 July 2005 August 2005 September 2005 October 2005 November 2005 December 2005 January 2006 February 2006 March 2006 April 2006 May 2006 June 2006 July 2006 August 2006 September 2006 October 2006 November 2006 December 2006 January 2007 February 2007 March 2007 April 2007 May 2007 June 2007 July 2007 August 2007 September 2007 October 2007 November 2007 December 2007 January 2008 February 2008 March 2008 April 2008 May 2008 June 2008 July 2008 August 2008 September 2008 October 2008 November 2008 December 2008 January 2009 February 2009 March 2009 April 2009 May 2009 June 2009 July 2009 August 2009 Self-avowed ""P.R. agent for the planet"" Al Gore says those who still doubt that global warming is caused by man - among them, Vice President Dick Cheney - are acting like the fringe groups who think the 1969 moon landing never really happened, or who once believed the world is flat.",CauseNet-cause.csv,,2,['believed'],['caused'],explicit,"[('man', 'global_warming')]",No
"As for why diabetes causes depression, the research director, Dr. Frank Hu, names the hassle of managing the disease as a primary factor.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('diabetes', 'depression')]",No
"The cars were registered to Dr. Herewith, studies in animals have shown that cannabis causes birth defects when given in very large doses (amounts equal to those present in 12 to 24 cups of biostatistics a day).",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('cannabis', 'birth_defects')]",No
"While it's true that cross-contamination is being increasingly realized as a means by which foodborne pathogens can cause disease, a research effort to which we have contributed, I'm curious how Myhrvold et al. determine that it is often the weakest link.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('foodborne_pathogens', 'disease')]",No
