sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"I have identified that due to constant stress the adrenaline and cortisol levels have disturbed the digestion causing bloating, as well as restricting the immune system causing dull sluggish skin.",CauseNet-cause.csv,,1,[],['due to'],implicit,"[('digestion', 'bloating')]",No
"Indeed, while there are a number of micro-organisms capable of causing a UTI, (including enterobacteria, pseudomonas, and staphylococcus), most infections are the result of the E. coli bacteria, which is found naturally in the digestive tract, in stool, around the anus and on the skin between the anus and the vagina.",CauseNet-cause.csv,,1,[],[],implicit,"[('e._coli_bacteria', 'infections')]",No
"My medication is causing me some problems - I appear to be itching a great deal, all over my body but especially on my scalp and neck.",CauseNet-cause.csv,,1,[],[],implicit,"[('medication', 'problems')]",No
"In areas where P. falciparum is endemic, parasites causing severe malaria and malaria in young children with limited immunity tend to express semiconserved PfEMP1 molecules encoded by group A var genes.",CauseNet-cause.csv,,1,[],[],implicit,"[('parasites', 'malaria')]",No
Mutations causing resistance were detected in a total of 27 isolates.,CauseNet-cause.csv,,1,[],[],implicit,"[('mutations', 'resistance')]",No
"Batman Begins exists in a bleak version of the renowned Gotham City, with a depression causing ghettos and crime, and even worse, the breakdown of ideals.",CauseNet-cause.csv,,1,[],[],implicit,"[('depression', 'crime')]",No
Gluten is increasingly causing problems these days.,CauseNet-cause.csv,,1,[],[],implicit,"[('gluten', 'problems')]",No
"A 2010 study published in the Proceedings of the National Academy of Sciences - the official publication of the United States National Academy of Sciences - found that out of 1,372 climate researchers surveyed, approximately 97 to 98 percent of those actively publishing in the field said they believe human beings are causing the climate change, which they term anthropogenic (i.e., man-made) climate change.",CauseNet-cause.csv,,1,['believe'],[],implicit,"[('human_beings', 'climate_change')]",No
The central concept behind the management and treatment of panic attacks by yoga lies in the understanding that it is the fear which is causing the symptoms.,CauseNet-cause.csv,,1,[],[],implicit,"[('fear', 'symptoms')]",No
The dentist eliminates the gum disease causing bacteria and encourages gum growth by smoothing the surfaces of any damaged teeth.,CauseNet-cause.csv,,1,[],[],implicit,"[('gum_disease', 'bacteria')]",No
